food_name,calories,protein,carbs,fats,estimated_gi,glycemic_load,food_type,meal_type
Amaranth Leaves (Chaulai) Sabzi,87.0,2.9,11.6,2.9,62.0,7.191999999999999,Veg,Breakfast
Kaddu Ki Sabzi (Pumpkin),168.0,4.48,22.4,8.96,65.0,14.56,Veg,Lunch/Dinner
Cluster Beans (Gawar) Sabzi,183.0,5.38,26.91,7.54,35.0,9.4185,Veg,Lunch/Dinner
Bottle Gourd (lauki) with Moong Dal,206.0,7.49,28.09,5.62,65.0,18.2585,Veg,Breakfast
Okra (Bhindi) Masala,123.0,2.05,8.2,4.78,20.0,1.64,Veg,Breakfast
Carrot and Peas Sabzi,162.0,5.06,22.28,6.08,47.0,10.4716,Veg,Breakfast
Chili Paneer with Capsicum,290.0,13.92,23.2,20.88,0.0,0.0,Veg,Breakfast
Brinjal (Baingan) Bharta,166.0,3.16,11.86,7.9,20.0,2.372,Veg,Breakfast
Methi Thepla (Fenugreek Flatbread),233.0,7.77,29.13,8.74,69.0,20.0997,Veg,Breakfast
Gobi (Cauliflower) Masala,176.0,5.56,18.53,7.41,15.0,2.7795000000000005,Veg,Breakfast
Palak (Spinach) and Toor Dal,185.0,8.41,21.02,4.2,15.0,3.153,Veg,Breakfast
Shorba (Spinach Soup),106.0,3.53,15.9,1.77,15.0,2.385,Veg,Unknown
Arbi (Colocasia) Masala,188.0,4.7,22.56,7.52,20.0,4.512,Veg,Breakfast
Chow Chow (Chayote) Sabzi,183.0,6.86,27.45,8.01,47.0,12.9015,Veg,Lunch/Dinner
Kundru (Ivy Gourd) Masala,162.0,4.76,20.96,5.72,20.0,4.192,Veg,Breakfast
Palak Puri,236.0,5.66,33.04,7.55,85.0,28.084,Veg,Breakfast
Tomato Chutney with Bottle Gourd,149.0,4.26,23.41,5.32,26.5,6.20365,Veg,Unknown
Lauki (Bottle Gourd) and Masoor Dal,230.0,9.0,35.0,6.0,27.5,9.625,Veg,Breakfast
Chana and Spinach (Palak) Curry,300.0,13.33,50.0,8.89,15.0,7.5,Veg,Lunch/Dinner
Beetroot and Carrot Salad,128.0,2.74,18.29,3.66,15.0,2.7435,Veg,Breakfast
Radish (Mooli) Paratha,280.0,7.0,45.0,8.0,15.0,6.75,Veg,Breakfast
Cabbage and Peas Sabzi,182.0,7.08,25.28,6.07,10.0,2.528,Veg,Lunch/Dinner
Green Beans and Potato Sabzi,208.0,5.94,27.73,7.92,30.0,8.318999999999999,Veg,Breakfast
Raw Mango and Spinach Salad,99.0,1.8,14.4,2.7,51.0,7.343999999999999,Veg,Breakfast
Mustard Greens (Sarson) Saag,229.0,6.97,29.87,8.96,35.0,10.4545,Veg,Breakfast
Spinach (Palak) Paratha,282.0,8.36,41.78,10.44,15.0,6.267,Veg,Breakfast
Saag Aloo (Spinach and Potato),252.0,6.05,30.24,12.1,15.0,4.536,Veg,Breakfast
Bitter Gourd (Karela) Stir Fry,154.0,5.13,20.53,6.16,0.0,0.0,Veg,Lunch/Dinner
Chana Masala with Bottle Gourd,260.0,11.56,33.7,7.7,42.0,14.154000000000002,Veg,Breakfast
Karela (Bitter Gourd) with Onion,171.0,4.75,20.9,6.65,65.0,13.585,Veg,Unknown
Chow Chow (Chayote) Salad,95.0,1.73,12.95,2.59,15.0,1.9425,Veg,Breakfast
Chana Dal with Bottle Gourd,215.0,9.35,26.17,6.54,42.0,10.9914,Veg,Unknown
Green Mango and Cucumber Salad,78.0,2.6,10.4,1.73,15.0,1.56,Veg,Breakfast
Aloo-Gobhi (Potato-Cauliflower),212.0,5.05,30.29,8.08,15.0,4.5435,Veg,Breakfast
Green Peas Pulao,299.0,9.97,55.37,7.75,15.0,8.3055,Veg,Lunch/Dinner
Tomato and Onion Salad,75.0,1.67,8.33,2.5,26.5,2.20745,Veg,Breakfast
Masala Lauki,199.0,5.97,27.86,6.96,0.0,0.0,Veg,Breakfast
Toor Dal with Pumpkin,217.0,7.89,34.52,4.93,10.0,3.4520000000000004,Veg,Breakfast
Potato and Spinach Curry,232.0,6.05,34.3,8.07,15.0,5.145,Veg,Breakfast
Chana and Cabbage Sabzi,252.0,10.08,35.28,8.06,10.0,3.528,Veg,Lunch/Dinner
Spinach and Onion Roti,256.0,7.59,36.03,7.59,15.0,5.4045000000000005,Veg,Breakfast
Karela and Onion Stir Fry,163.0,5.09,20.38,7.13,0.0,0.0,Veg,Lunch/Dinner
Radish (Mooli) and Moong Dal,210.0,9.0,30.0,6.0,15.0,4.5,Veg,Breakfast
Aloo-Besan (Potato and Chickpea Flour) Paratha,302.0,8.05,45.3,10.07,35.0,15.855,Veg,Breakfast
Spinach and Tomato Soup,94.0,3.42,12.82,1.71,15.0,1.923,Veg,Unknown
Methi and Aloo (Fenugreek and Potato) Curry,220.0,7.0,30.0,8.0,62.5,18.75,Veg,Breakfast
Mixed Vegetable Pulao,308.0,10.27,57.04,9.13,62.5,35.65,Veg,Breakfast
Chole Bhature with Soy Protein,482.0,21.42,64.27,19.28,50.0,32.135,Veg,Breakfast
Tofu Stir-Fry with Vegetables,320.0,19.2,37.33,12.8,15.0,5.599499999999999,Veg,Breakfast
Vegetable and Tofu Pulao,392.0,17.92,61.6,13.44,65.0,40.04,Veg,Breakfast
Moong Dal with Quinoa,313.0,19.43,43.17,9.71,10.0,4.317,Veg,Breakfast
Chana Dal and Brown Rice,382.0,18.09,55.29,10.05,50.0,27.645,Veg,Unknown
Lentil and Spinach Soup,245.0,14.7,34.3,4.9,15.0,5.145,Veg,Unknown
Grilled Tofu with Veggie Salad,304.0,23.89,19.54,17.37,15.0,2.931,Veg,Breakfast
Masoor Dal with Amaranth,324.0,20.11,50.28,8.94,27.5,13.827,Veg,Breakfast
Vegetable Biryani with Soy Protein,454.0,22.2,60.53,14.12,48.0,29.0544,Veg,Breakfast
Chicken Breast with Sweet Potato,430.0,30.64,53.75,10.75,0.0,0.0,Non-Veg,Breakfast
Grilled Salmon with Broccoli,404.0,25.59,16.16,17.96,15.0,2.424,Non-Veg,Unknown
Beef Stir-Fry with Vegetables,402.0,28.64,30.15,18.09,0.0,0.0,Non-Veg,Breakfast
Chicken Korma with Brown Rice,542.0,30.89,65.04,19.51,50.0,32.52,Non-Veg,Breakfast
Paneer Butter Masala with Brown Rice,525.0,26.25,52.5,26.25,50.0,26.25,Veg,Breakfast
Chickpea and Spinach Stir Fry,314.0,17.94,44.86,11.21,15.0,6.729,Veg,Breakfast
Grilled Tofu with Quinoa,386.0,22.06,49.63,15.44,53.0,26.3039,Veg,Unknown
Palak (Spinach) and Moong Dal,248.0,13.89,29.76,7.94,15.0,4.464,Veg,Breakfast
Quinoa and Lentil Salad,362.0,19.75,54.85,10.97,53.0,29.070500000000003,Veg,Breakfast
Tempeh and Tofu Stir-Fry,394.0,31.52,33.77,20.26,15.0,5.065500000000001,Veg,Unknown
Vegetable Protein-Packed Soup,332.0,23.71,53.36,9.49,10.0,5.336,Veg,Breakfast
Chicken Shawarma Wrap,480.0,30.4,42.67,21.33,20.0,8.534,Non-Veg,Breakfast
Mutton Seekh Kebab,450.0,25.65,9.0,22.95,0.0,0.0,Non-Veg,Lunch/Dinner
Grilled Paneer with Veggie Salad,334.0,29.22,15.66,18.79,0.0,0.0,Veg,Breakfast
Quinoa and Chickpea Salad,330.0,16.5,49.5,11.0,53.0,26.235,Veg,Breakfast
Grilled Chicken with Avocado,394.0,32.08,20.26,20.26,15.0,3.039,Non-Veg,Breakfast
Vegan Tempeh Stir-Fry with Veggies,402.0,26.45,37.03,19.04,15.0,5.554500000000001,Veg,Unknown
Tofu and Vegetable Stew,330.0,22.76,45.52,11.38,15.0,6.828,Veg,Breakfast
Chana Chaat with Avocado,286.0,14.3,35.75,10.21,15.0,5.3625,Veg,Breakfast
Spicy Chicken Curry with Rice,522.0,33.06,63.8,20.88,0.0,0.0,Non-Veg,Lunch/Dinner
Grilled Tofu Wrap,374.0,25.71,46.75,16.36,15.0,7.0125,Veg,Unknown
Paneer and Spinach Wrap,388.0,27.71,49.89,13.3,0.0,0.0,Veg,Lunch/Dinner
Tofu and Chickpea Burger,462.0,28.88,57.75,20.79,15.0,8.6625,Veg,Lunch/Dinner
Chicken and Sweet Potato Salad,482.0,32.71,51.64,20.66,0.0,0.0,Non-Veg,Breakfast
Vegan Lentil Stew with Spinach,304.0,19.54,43.43,8.69,15.0,6.514500000000001,Veg,Unknown
Paneer Bhurji with Quinoa,414.0,30.51,38.13,19.61,0.0,0.0,Veg,Breakfast
Chana and Tofu Salad,376.0,23.63,48.34,12.89,15.0,7.251,Veg,Breakfast
Grilled Chicken with Veggie Rice,484.0,30.65,53.78,17.21,0.0,0.0,Non-Veg,Unknown
Tofu and Bell Pepper Stir Fry,374.0,26.54,48.26,16.89,15.0,7.239,Non-Veg,Lunch/Dinner
Chicken and Avocado Salad,442.0,29.99,36.83,18.94,15.0,5.5245,Non-Veg,Breakfast
Grilled Paneer with Avocado,354.0,28.32,20.23,18.21,15.0,3.0345,Veg,Breakfast
Spicy Vegan Chickpea Wrap,180.0,0.0,21.32,0.0,35.0,7.462000000000001,Veg,Unknown
Tofu and Quinoa Salad,386.0,24.12,54.28,16.89,53.0,28.7684,Veg,Breakfast
Chicken Tikka with Brown Rice,504.0,31.92,61.6,17.92,50.0,30.8,Non-Veg,Breakfast
Vegan Lentil Soup with Vegetables,312.0,23.11,46.22,9.24,30.0,13.866,Veg,Breakfast
Paneer and Broccoli Stir Fry,362.0,29.48,20.69,18.62,15.0,3.1035000000000004,Veg,Lunch/Dinner
Chickpea and Tofu Pulao,416.0,24.08,60.21,13.14,65.0,39.1365,Veg,Breakfast
Chicken Tandoori with Veggie Salad,462.0,29.26,41.07,18.48,0.0,0.0,Non-Veg,Breakfast
Grilled Tofu with Hummus,386.0,27.57,44.11,15.44,6.0,2.6466,Veg,Unknown
Palak and Tofu Curry,282.0,17.5,29.17,9.72,15.0,4.3755,Veg,Lunch/Dinner
Grilled Tempeh with Steamed Veggies,404.0,28.86,46.17,18.47,15.0,6.9255,Veg,Unknown
Vegetable and Tofu Stir-Fry with Rice,408.0,22.05,60.65,13.23,50.0,30.325,Veg,Breakfast
Paneer and Chickpea Curry,422.0,24.11,54.26,21.7,0.0,0.0,Veg,Lunch/Dinner
Vegetable Quesadilla,480.0,16.0,64.0,21.33,0.0,0.0,Veg,Breakfast
Spicy Lentil Tacos,345.0,18.4,57.5,10.35,70.0,40.25,Veg,Unknown
Chickpea and Cauliflower Stew,328.0,17.57,46.86,14.06,15.0,7.029,Veg,Breakfast
Quinoa and Kale Salad,360.0,20.25,50.62,13.5,15.0,7.593,Veg,Breakfast
Spinach and Potato Croquettes,402.0,18.27,54.82,21.93,15.0,8.222999999999999,Veg,Breakfast
Mango Chutney Chicken,422.0,30.07,31.65,18.99,0.0,0.0,Non-Veg,Lunch/Dinner
Vegetable Pita Wrap,328.0,11.71,52.71,14.06,57.0,30.0447,Veg,Breakfast
Roasted Cauliflower and Lentil Soup,280.0,12.92,43.08,8.62,15.0,6.462,Veg,Unknown
Tofu and Veggie Stir-Fry,380.0,21.38,59.38,14.25,15.0,8.907,Veg,Unknown
Spicy Mushroom and Tofu Curry,375.0,22.73,45.45,17.05,15.0,6.8175,Veg,Lunch/Dinner
Grilled Eggplant with Tahini,322.0,10.73,32.2,19.32,15.0,4.830000000000001,Veg,Unknown
Chickpea and Spinach Wrap,292.0,16.22,43.26,8.65,15.0,6.489,Veg,Breakfast
Grilled Chicken and Avocado Salad,368.0,27.6,29.05,11.62,15.0,4.3575,Non-Veg,Breakfast
Vegetable Soup with Quinoa,263.0,9.39,37.57,6.58,53.0,19.9121,Veg,Breakfast
Lentil and Potato Stew,344.0,19.35,53.75,8.6,95.0,51.0625,Veg,Breakfast
Tofu and Vegetable Kebabs,410.0,25.77,46.86,21.09,15.0,7.029,Veg,Breakfast
Palak and Paneer Wrap,422.0,22.21,49.97,19.99,0.0,0.0,Veg,Lunch/Dinner
Grilled Salmon Salad,465.0,29.45,25.83,25.83,0.0,0.0,Non-Veg,Breakfast
Chana and Rice,350.0,15.0,50.0,10.0,73.0,36.5,Veg,Lunch/Dinner
Vegetable and Tofu Korma,427.0,19.22,58.71,16.01,15.0,8.8065,Non-Veg,Breakfast
Paneer and Veggie Stuffed Paratha,442.0,23.26,58.16,20.94,0.0,0.0,Veg,Breakfast
Quinoa and Veggie Stuffed Peppers,342.0,20.52,51.3,11.4,53.0,27.189,Veg,Lunch/Dinner
Chickpea and Avocado Toast,328.0,19.68,52.48,15.74,15.0,7.871999999999999,Veg,Breakfast
Grilled Chicken Caesar Salad,442.0,29.99,31.57,18.94,15.0,4.7355,Non-Veg,Breakfast
Spinach and Mushroom Salad,342.0,12.21,42.75,21.99,15.0,6.4125,Veg,Breakfast
Chana and Broccoli Stir-Fry,360.0,21.6,54.0,14.4,15.0,8.1,Veg,Lunch/Dinner
Vegetable Sushi Rolls,350.0,15.0,50.0,10.0,55.0,27.5,Veg,Breakfast
Spicy Tofu Tacos,348.0,24.86,49.71,14.91,70.0,34.797000000000004,Veg,Unknown
Grilled Paneer with Green Salad,382.0,34.02,29.84,21.49,0.0,0.0,Veg,Breakfast
Tofu and Broccoli Stir-Fry,378.0,20.62,51.55,16.04,15.0,7.7325,Veg,Unknown
Vegetable Makhani,454.0,20.43,62.42,20.43,0.0,0.0,Veg,Breakfast
Chickpea and Vegetable Patties,407.0,22.89,63.59,19.08,35.0,22.256500000000003,Veg,Breakfast
Grilled Tofu with Asparagus,392.0,24.64,44.8,17.92,15.0,6.72,Veg,Breakfast
Vegetable Pakora with Yogurt Dip,363.0,15.02,56.33,18.78,75.0,42.2475,Veg,Breakfast
Lentil and Sweet Potato Curry,380.0,20.73,57.58,13.82,70.0,40.306,Veg,Breakfast
Chana and Spinach Saut̩,310.0,17.22,45.93,11.48,15.0,6.889500000000001,Veg,Lunch/Dinner
Paneer and Vegetable Skewers,342.0,21.38,26.72,19.24,0.0,0.0,Veg,Breakfast
Puran Poli,268.0,4.29,48.24,8.58,85.0,41.004000000000005,Veg,Breakfast
Vada Pav,363.0,7.26,51.86,15.56,72.5,37.5985,Veg,Breakfast
Misal Pav,422.0,9.38,51.58,16.88,65.0,33.527,Veg,Breakfast
Poha,256.0,6.14,40.96,8.19,95.0,38.912000000000006,Veg,Breakfast
Thalipeeth,300.0,8.0,40.0,12.0,10.0,4.0,Veg,Unknown
Bhakri,216.0,6.48,32.4,8.64,40.0,12.96,Non-Veg,Breakfast
Pitla,182.0,7.08,25.28,6.07,57.0,14.4096,Veg,Lunch/Dinner
Kothimbir Wadi,282.0,10.07,20.14,18.13,0.0,0.0,Veg,Breakfast
Pav Bhaji,387.0,6.88,47.3,12.9,65.0,30.745,Veg,Breakfast
Shira,304.0,4.05,45.6,12.16,20.0,9.12,Veg,Breakfast
Bhel Puri,232.0,5.8,40.6,9.28,85.0,34.51,Veg,Breakfast
Batata Vada,291.0,4.66,40.74,17.46,10.0,4.074000000000001,Veg,Unknown
Alu Vadi,228.0,5.07,44.33,10.13,10.0,4.433,Veg,Unknown
Modak,290.0,5.18,46.61,10.36,0.0,0.0,Veg,Unknown
Pohe,199.0,3.79,28.43,6.63,70.0,19.901,Veg,Breakfast
Zunka Bhakri,347.0,7.93,44.61,14.87,0.0,0.0,Veg,Breakfast
Khandvi,282.0,9.02,45.12,11.28,45.0,20.304,Veg,Breakfast
Ukadiche Modak,310.0,5.17,51.67,10.33,73.0,37.719100000000005,Veg,Unknown
Kolhapuri Misal,383.0,11.49,47.88,14.36,85.0,40.698,Veg,Breakfast
Chutney,162.0,2.16,27.0,6.48,35.0,9.45,Veg,Breakfast
Shev Bhaji,308.0,11.0,44.0,13.2,65.0,28.6,Veg,Breakfast
Amboli,232.0,5.27,36.91,8.44,0.0,0.0,Veg,Unknown
Bhakarwadi,343.0,6.86,44.1,14.7,45.0,19.845,Veg,Breakfast
Surli Vadi,254.0,6.1,35.56,10.16,45.0,16.002,Veg,Breakfast
Kaladi,280.0,7.72,33.79,11.59,15.0,5.068499999999999,Veg,Breakfast
Shengdana chutney,174.0,5.8,14.5,9.67,60.0,8.7,Veg,Unknown
Chana Usal,427.0,19.22,58.71,16.01,42.0,24.6582,Veg,Breakfast
Goan Saag,240.0,7.64,38.18,8.73,20.0,7.636,Veg,Breakfast
Pitla Bhakri,320.0,7.31,41.14,10.97,57.0,23.4498,Veg,Breakfast
Mango Mastani,219.0,3.5,30.66,6.13,51.0,15.6366,Veg,Unknown
Dal Amti,328.0,15.31,54.67,8.75,10.0,5.4670000000000005,Veg,Unknown
Ghavtya,288.0,5.33,42.67,12.8,65.0,27.7355,Veg,Unknown
Masala Wada,343.0,11.76,39.2,14.7,0.0,0.0,Veg,Breakfast
Tambda Rassa,314.0,16.75,41.87,10.47,25.0,10.4675,Non-Veg,Lunch/Dinner
Biryani,460.0,10.22,61.33,20.44,50.0,30.665,Non-Veg,Lunch/Dinner
Navratan Korma,382.0,9.55,42.97,17.19,30.0,12.890999999999998,Non-Veg,Breakfast
Maharashtrian Bhaji,216.0,5.89,29.45,7.85,65.0,19.1425,Non-Veg,Breakfast
Karvande,175.0,2.92,24.31,6.81,15.0,3.6465,Veg,Breakfast
Ragda Pattice,367.0,8.39,52.43,15.73,73.0,38.2739,Veg,Breakfast
Chana Biryani,443.0,11.81,63.99,14.77,50.0,31.995,Veg,Lunch/Dinner
Alu Patra,232.0,4.64,32.48,7.42,50.0,16.24,Veg,Breakfast
Chivda,282.0,7.52,37.6,9.4,0.0,0.0,Veg,Breakfast
Garadu,264.0,3.77,33.0,11.31,70.0,23.1,Veg,Unknown
Masale Bhath,375.0,10.71,53.57,16.07,15.0,8.035499999999999,Veg,Breakfast
Ambapoli,310.0,5.54,55.36,11.07,0.0,0.0,Veg,Unknown
Kairi Chi Koshimbir,164.0,2.73,18.22,7.29,73.0,13.3006,Veg,Unknown
Chandrakala,266.0,4.26,42.56,10.64,42.0,17.8752,Veg,Breakfast
Pohe Shira,212.0,4.61,27.65,7.37,20.0,5.53,Veg,Breakfast
Tamda Rassa,258.0,12.38,30.96,10.32,25.0,7.74,Veg,Lunch/Dinner
Chana Sookha,224.0,7.17,26.88,7.17,42.0,11.2896,Veg,Breakfast
Amti,234.0,8.67,30.33,5.2,62.0,18.8046,Veg,Lunch/Dinner
Batata Bhaji,188.0,3.27,20.43,6.54,65.0,13.2795,Veg,Breakfast
Shorshe Ilish,405.0,25.31,20.25,25.31,85.0,17.2125,Non-Veg,Breakfast
Macher Jhol,355.0,20.29,35.5,15.21,53.0,18.815,Non-Veg,Breakfast
